/home/rgundaka/miniconda3/envs/CPINO/lib/python3.10/site-packages/torch/functional.py:568: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at  ../aten/src/ATen/native/TensorShape.cpp:2228.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
wandb: Currently logged in as: rishigundakaram. Use `wandb login --relogin` to force relogin
loading data
data is loaded
using device: cuda:0
wandb: wandb version 0.12.19 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.12.18
wandb: Run data is saved locally in /central/groups/tensorlab/rgundaka/code/CPINO/experiments/wave1D_PINO/wandb/run-20220627_220959-39v0emb5
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run prime-dragon-13
wandb: ⭐️ View project at https://wandb.ai/rishigundakaram/CPINO-wave1D
wandb: 🚀 View run at https://wandb.ai/rishigundakaram/CPINO-wave1D/runs/39v0emb5

  0% 0/500 [00:00<?, ?it/s]
L2 data loss: 0.00701 L2 ic loss: 0.00077 L2 f loss: 0.06120 loss: 0.13513 :   6% 28/500 [00:50<14:04,  1.79s/it]
L2 data loss: 0.00693 L2 ic loss: 0.00076 L2 f loss: 0.04284 loss: 0.11600 :   6% 28/500 [00:52<14:04,  1.79s/it]
L2 data loss: 0.00693 L2 ic loss: 0.00076 L2 f loss: 0.04284 loss: 0.11600 :   6% 29/500 [00:52<14:03,  1.79s/it]
L2 data loss: 0.00684 L2 ic loss: 0.00075 L2 f loss: 0.04172 loss: 0.11390 :   6% 29/500 [00:54<14:03,  1.79s/it]
L2 data loss: 0.00684 L2 ic loss: 0.00075 L2 f loss: 0.04172 loss: 0.11390 :   6% 30/500 [00:54<14:02,  1.79s/it]
L2 data loss: 0.00678 L2 ic loss: 0.00074 L2 f loss: 0.04232 loss: 0.11388 :   6% 30/500 [00:55<14:02,  1.79s/it]
L2 data loss: 0.00678 L2 ic loss: 0.00074 L2 f loss: 0.04232 loss: 0.11388 :   6% 31/500 [00:55<14:01,  1.79s/it]
L2 data loss: 0.00674 L2 ic loss: 0.00074 L2 f loss: 0.04182 loss: 0.11287 :   6% 31/500 [00:57<14:01,  1.79s/it]
L2 data loss: 0.00674 L2 ic loss: 0.00074 L2 f loss: 0.04182 loss: 0.11287 :   6% 32/500 [00:57<13:59,  1.79s/it]
L2 data loss: 0.00668 L2 ic loss: 0.00073 L2 f loss: 0.03974 loss: 0.11023 :   6% 32/500 [00:59<13:59,  1.79s/it]
L2 data loss: 0.00668 L2 ic loss: 0.00073 L2 f loss: 0.03974 loss: 0.11023 :   7% 33/500 [00:59<13:57,  1.79s/it]
L2 data loss: 0.00663 L2 ic loss: 0.00073 L2 f loss: 0.03873 loss: 0.10864 :   7% 33/500 [01:01<13:57,  1.79s/it]
L2 data loss: 0.00663 L2 ic loss: 0.00073 L2 f loss: 0.03873 loss: 0.10864 :   7% 34/500 [01:01<13:55,  1.79s/it]
L2 data loss: 0.00659 L2 ic loss: 0.00072 L2 f loss: 0.03965 loss: 0.10919 :   7% 34/500 [01:03<13:55,  1.79s/it]
L2 data loss: 0.00659 L2 ic loss: 0.00072 L2 f loss: 0.03965 loss: 0.10919 :   7% 35/500 [01:03<13:53,  1.79s/it]
L2 data loss: 0.00656 L2 ic loss: 0.00072 L2 f loss: 0.04079 loss: 0.10999 :   7% 35/500 [01:04<13:53,  1.79s/it]
